merged_cubic_angles_1,merged_cubic_angles_2,merged_cubic_angles_3,merged_cubic_angles_4,merged_cubic_angles_5,merged_cubic_angles_6,merged_cubic_angles_7,merged_cubic_angles_8,merged_cubic_angles_9,merged_cubic_angles_10,merged_cubic_angles_11,merged_cubic_angles_12,merged_cubic_angles_13,merged_cubic_angles_14
-2,3,31,-2,52,0,-1,0.99370630405098,0,-40.3074168183887,-2.96988768775603,-57.0903369367319,-0.0602246244879382,-0.0903369367319073
-2,3,31,-2,52,0,-1,1.21665908056441,0,-40.1520254893036,-2.9631315430132,-57.1106053709604,-0.0737369139736004,-0.110605370960401
-2,3,31,-2,52,0,-1,1.45988950842057,0,-39.9825012517069,-2.95576092398726,-57.1327172280382,-0.0884781520254893,-0.132717228038234
-2,3,31,-2,52,0,-1,1.7227892580792,0,-39.7992680928539,-2.94779426490669,-57.1566172052799,-0.104411470186618,-0.156617205279927
-2,3,31,-2,52,0,-1,2.00475,0,-39.60275,-2.93925,-57.18225,-0.1215,-0.18225
-2,3,31,-2,52,0,-1,2.3051634046427,0,-39.3933709604005,-2.93014656349568,-57.209560309513,-0.139706873008648,-0.209560309512972
-2,3,31,-2,52,0,-1,2.623421142467,0,-39.1715549613109,-2.92050238962221,-57.2384928311334,-0.158995220755576,-0.238492831133364
-2,3,31,-2,52,0,-1,2.95891488393264,0,-38.9377259899863,-2.9103359126081,-57.2689922621757,-0.179328174783796,-0.268992262175694
-2,3,31,-2,52,0,-1,3.31103629949932,0,-38.6923080336823,-2.89966556668184,-57.3010032999545,-0.200668866636322,-0.301003299954483
-2,3,31,-2,52,0,-1,3.67917705962676,0,-38.4357250796541,-2.88850978607192,-57.3344706417843,-0.222980427856167,-0.334470641784251
-2,3,31,-2,52,0,-1,4.0627288347747,0,-38.168401115157,-2.87688700500683,-57.3693389849795,-0.246225989986345,-0.369338984979518
-2,3,31,-2,52,0,-1,4.46108329540282,0,-37.8907601274465,-2.86481565771507,-57.4055530268548,-0.270368684569868,-0.405553026854802
-2,3,31,-2,52,0,-1,4.87363211197087,0,-37.6032261037779,-2.85231417842513,-57.4430574647246,-0.29537164314975,-0.443057464724625
-2,3,31,-2,52,0,-1,5.29976695493855,0,-37.3062230314065,-2.8394010013655,-57.4817969959035,-0.321197997269003,-0.481796995903505
-2,3,31,-2,52,0,-1,5.73887949476559,0,-37.0001748975876,-2.82609456076468,-57.521716317706,-0.347810878470642,-0.521716317705962
-2,3,31,-2,52,0,-1,6.19036140191169,0,-36.6855056895767,-2.81241329085116,-57.5627601274465,-0.375173418297678,-0.562760127446518
-2,3,31,-2,52,0,-1,6.6536043468366,0,-36.362639394629,-2.79837562585344,-57.6048731224397,-0.403248748293127,-0.604873122439691
-2,3,31,-2,52,0,-1,7.128,0,-36.032,-2.784,-57.648,-0.432,-0.648
-2,3,31,-2,52,0,-1,7.61294003186163,0,-35.6940114929449,-2.76930484751934,-57.692085457442,-0.461390304961311,-0.692085457441966
-2,3,31,-2,52,0,-1,8.1078161128812,0,-35.3490978607192,-2.75430860263996,-57.7370741920801,-0.491382794720073,-0.737074192080109
-2,3,31,-2,52,0,-1,8.61201991351844,0,-34.9976830905781,-2.73902969959035,-57.782910901229,-0.521940600819299,-0.782910901228949
-2,3,31,-2,52,0,-1,9.12494310423305,0,-34.640191169777,-2.723486572599,-57.829540282203,-0.553026854802003,-0.829540282203004
-2,3,31,-2,52,0,-1,9.64597735548476,0,-34.2770460855712,-2.7076976558944,-57.8769070323168,-0.584604688211197,-0.876907032316796
-2,3,31,-2,52,0,-1,10.1745143377333,0,-33.9086718252162,-2.69168138370505,-57.9249558488848,-0.616637232589895,-0.924955848884843
-2,3,31,-2,52,0,-1,10.7099457214383,0,-33.5354923759672,-2.67545619025944,-57.9736314292217,-0.64908761948111,-0.973631429221666
-2,3,31,-2,52,0,-1,11.2516631770596,0,-33.1579317250797,-2.65904050978607,-58.0228784706418,-0.681918980427856,-1.02287847064178
-2,3,31,-2,52,0,-1,11.7990583750569,0,-32.7764138598088,-2.64245277651343,-58.0726416704597,-0.715094446973145,-1.07264167045972
-2,3,31,-2,52,0,-1,12.3515229858899,0,-32.3913627674101,-2.62571142467,-58.12286572599,-0.748577150659991,-1.12286572598999
-2,3,31,-2,52,0,-1,12.9084486800182,0,-32.0032024351388,-2.6088348884843,-58.1734953345471,-0.782330223031407,-1.17349533454711
-2,3,31,-2,52,0,-1,13.4692271279017,0,-31.6123568502503,-2.5918416021848,-58.2244751934456,-0.816316795630405,-1.22447519344561
-2,3,31,-2,52,0,-1,14.03325,0,-31.21925,-2.57475,-58.27575,-0.8505,-1.27575
-2,3,31,-2,52,0,-1,14.5999089667729,0,-30.8243058716431,-2.5575785161584,-58.3272644515248,-0.884842967683205,-1.32726445152481
-2,3,31,-2,52,0,-1,15.16859569868,0,-30.4279484524351,-2.54034558488848,-58.3789632453345,-0.919308830223032,-1.37896324533455
-2,3,31,-2,52,0,-1,15.7387018661812,0,-30.0306017296313,-2.52306964041875,-58.4307910787437,-0.953860719162494,-1.43079107874374
-2,3,31,-2,52,0,-1,16.309619139736,0,-29.632689690487,-2.5057691169777,-58.4826926490669,-0.988461766044606,-1.48269264906691
-2,3,31,-2,52,0,-1,16.8807391898043,0,-29.2346363222576,-2.48846244879381,-58.5346126536186,-1.02307510241238,-1.53461265361857
